id,1
bldg_id,40
dataset_id,1
in_county,G4804530
in_puma,G48005301
in_ashrae_iecc_climate_zone_2004,2A
in_building_america_climate_zone,Hot-Humid
in_iso_rto_region,ERCOT
applicability,b'\x01'
weight,242.13101272727272
in_sqft,8194.0
in_ahs_region,Non-CBSA West South Central
in_applicable,b'\x01'
in_bathroom_spot_vent_hour,Hour0
in_bedrooms,4
in_cec_climate_zone,None
in_ceiling_fan,Standard Efficiency
in_census_division,West South Central
in_census_division_recs,West South Central
in_census_region,South
in_clothes_dryer,"Electric, 80% Usage"
in_clothes_washer,"Standard, 80% Usage"
in_clothes_washer_presence,Yes
in_cooking_range,"Electric, 80% Usage"
in_cooling_setpoint,75F
in_cooling_setpoint_has_offset,No
in_cooling_setpoint_offset_magnitude,0F
in_cooling_setpoint_offset_period,None
in_corridor,Not Applicable
in_dehumidifier,None
in_dishwasher,None
in_door_area,20 ft^2
in_doors,Fiberglass
in_ducts,"20% Leakage, R-6"
in_eaves,2 ft
in_electric_vehicle,None
in_geometry_attic_type,Vented Attic
in_geometry_building_horizontal_location_mf,None
in_geometry_building_horizontal_location_sfa,None
in_geometry_building_level_mf,None
in_geometry_building_number_units_mf,None
in_geometry_building_number_units_sfa,None
in_geometry_building_type_acs,Single-Family Detached
in_geometry_building_type_height,Single-Family Detached
in_geometry_building_type_recs,Single-Family Detached
in_geometry_floor_area,4000+
in_geometry_floor_area_bin,4000+
in_geometry_foundation_type,Vented Crawlspace
in_geometry_garage,3 Car
in_geometry_stories,2
in_geometry_stories_low_rise,2
in_geometry_wall_exterior_finish,"Brick, Medium/Dark"
in_geometry_wall_type,Wood Frame
in_geometry_wall_type_and_exterior_finish,"Wood Frame, Brick, Medium/Dark"
in_has_pv,No
in_heating_fuel,Electricity
in_heating_setpoint,75F
in_heating_setpoint_has_offset,Yes
in_heating_setpoint_offset_magnitude,6F
in_heating_setpoint_offset_period,Night
in_holiday_lighting,No Exterior Use
in_hot_water_distribution,"Uninsulated, HomeRun, PEX"
in_hot_water_fixtures,50% Usage
in_hvac_cooling_efficiency,Heat Pump
in_hvac_cooling_type,Heat Pump
in_hvac_has_ducts,Yes
in_hvac_has_shared_system,None
in_hvac_has_zonal_electric_heating,No
in_hvac_heating_efficiency,"ASHP, SEER 13, 7.7 HSPF"
in_hvac_heating_type,Ducted Heat Pump
in_hvac_heating_type_and_fuel,Electricity ASHP
in_hvac_secondary_heating_efficiency,None
in_hvac_secondary_heating_type_and_fuel,None
in_hvac_shared_efficiencies,None
in_hvac_system_is_faulted,No
in_hvac_system_single_speed_ac_airflow,None
